Country,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
AUSTRIA,2084,2252,1864,1904,1880,1506,1270,1228,1306,1264,879,595,674,639
BELGIUM,3690,3981,3752,3365,4201,3141,2301,2125,2341,2217,942,812,1138,945
BULGARIA,24,55,71,22,11,2,9,2,1,1,1,0,10,10
CZECH REPUBLIC,268,215,73,85,80,112,70,44,42,44,56,95,61,86
DENMARK,1142,1045,731,366,151,85,850,612,260,215,2810,982,740,657
ESTONIA,28,18,4,15,12,17,6,4,7,18,2,6,0,26
FINLAND,1744,1484,969,801,680,605,413,333,294,390,141,184,188,145
FRANCE,10605,10908,10254,8117,9117,9347,7525,5505,8047,8117,7495,4945,6690,3737
GERMANY,16406,17574,17694,14458,12137,10328,8087,6603,4675,5849,8612,5282,5116,4547
GREECE,102,67,69,48,45,37,6,8,11,18,21,27,13,6
HUNGARY,538,481,461,270,277,184,109,86,77,71,41,54,15,20
IRELAND,389,573,72,341,100,435,36,211,81,360,41,171,85,286
ITALY,2512,1855,1315,1189,1261,1061,770,598,614,839,550,416,598,769
LATVIA,33,21,11,11,10,13,8,9,10,13,4,12,6,2
LITHUANIA,24,13,15,15,11,11,11,6,33,14,3,12,12,10
NETHERLANDS,5184,4505,3517,2690,2376,2005,14723,3469,2420,2327,25400,6471,7166,5920
POLAND,330,340,369,317,215,159,150,150,116,152,88,58,68,67
PORTUGAL ,2152,1520,1462,944,906,758,548,461,408,419,444,321,246,155
ROMANIA,102,195,91,74,12,11,51,7,11,5,5,8,10,1
SLOVAKIA,169,55,80,39,77,33,22,14,15,8,11,8,18,18
SLOVENIA,190,170,155,115,112,74,61,68,35,,,,,
SPAIN,2817,2199,2871,2116,1480,1008,1154,685,1004,811,951,635,402,257
SWEDEN,6405,6210,6684,4913,4296,3810,3887,3503,3748,2122,3565,1697,2192,1208
UNITED KINGDOM,15230,14162,11863,13065,10755,12809,7835,9760,8459,11048,7348,6529,6164,8670
NORWAY,19607,16182,19217,15894,13713,13489,11522,11296,11158,10932,8892,7832,8931,10845
SWITZERLAND,2230,2249,2824,2084,1828,1655,1715,1678,1482,1528,2000,1427,1756,2821
